web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286482-1018","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Pantheon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Pantheon/","","Malzahar"
"1515286335-734","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sion","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sion/","","Nasus"
"1515286314-678","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sona","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sona/","","Leona"
"1515286832-1789","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Irelia","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Irelia/","Udyr",""
"1515287021-2306","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Bard","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Bard/","Rakan",""
"1515286322-695","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Skarner","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Skarner/","","Udyr"
"1515286615-1367","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lucian","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lucian/","","Ezreal"
"1515286631-1404","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Leona","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Leona/","","Morgana"
"1515286738-1676","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jhin","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jhin/","Caitlyn",""
"1515286514-1107","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nocturne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nocturne/","Riven",""
"1515286077-197","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Xayah","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Xayah/","","Sivir"
"1515286275-584","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Taliyah","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Taliyah/","Karthus",""
"1515286328-713","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sivir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sivir/","","Twitch"
"1515286674-1502","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kha'Zix","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Khazix/","Kayn",""
"1515286521-1120","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nidalee","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nidalee/","Hecarim",""
"1515286343-752","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Singed","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Singed/","","Gangplank"
"1515286637-1411","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lee Sin","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/LeeSin/","Fiddlesticks",""
"1515286091-225","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Warwick","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Warwick/","Gragas",""
"1515286509-1091","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nunu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nunu/","","Nami"
"1515286146-381","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Urgot","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Urgot/","Jayce",""
"1515287091-2484","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ahri","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ahri/","","Zoe"
"1515286474-1008","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Poppy","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Poppy/","","Illaoi"
"1515286218-473","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Trundle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Trundle/","Poppy",""
"1515286134-359","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vayne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Vayne/","","Draven"
"1515287080-2466","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Akali","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Akali/","","Kled"
"1515286848-1823","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Heimerdinger","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Heimerdinger/","Tryndamere",""
"1515286974-2205","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Cassiopeia","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Cassiopeia/","Viktor",""
"1515286038-63","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ziggs","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ziggs/","Brand",""
"1515286400-895","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Rengar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Rengar/","","XinZhao"
"1515286721-1627","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Karma","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Karma/","Velkoz",""
"1515286946-2112","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Dr. Mundo","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/DrMundo/","Rumble",""
"1515286832-1800","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Irelia","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Irelia/","","Kled"
"1515286502-1072","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Olaf","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Olaf/","","Kled"
"1515286929-2061","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Elise","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Elise/","Twitch",""
"1515286206-458","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Tryndamere","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Tryndamere/","Kayn",""
"1515286908-1981","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Fiora","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Fiora/","JarvanIV",""
"1515286642-1430","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","LeBlanc","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Leblanc/","Zed",""
"1515286025-22","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zoe","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zoe/","Azir",""
"1515286597-1320","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lux","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lux/","Kassadin",""
"1515286993-2251","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Braum","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Braum/","Karma",""
"1515286073-164","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Xerath","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Xerath/","Viktor",""
"1515286642-1424","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","LeBlanc","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Leblanc/","Syndra",""
"1515286920-2023","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ezreal","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ezreal/","Xayah",""
"1515286184-426","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Twitch","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Twitch/","","JarvanIV"
"1515286120-319","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vel'Koz","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Velkoz/","","Leblanc"
"1515286343-751","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Singed","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Singed/","","Vayne"
"1515287073-2439","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Alistar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Alistar/","Zyra",""
"1515287021-2313","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Bard","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Bard/","Soraka",""
"1515286622-1374","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lissandra","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lissandra/","Gnar",""
"1515286727-1647","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kalista","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kalista/","Tristana",""
"1515287021-2320","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Bard","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Bard/","","Janna"
"1515286950-2134","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Diana","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Diana/","","XinZhao"
"1515286280-595","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Tahm Kench","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/TahmKench/","Camille",""
"1515286968-2185","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Cho'Gath","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Chogath/","Khazix",""
"1515286091-218","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Warwick","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Warwick/","Graves",""
"1515286721-1626","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Karma","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Karma/","Zed",""
"1515287063-2426","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Amumu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Amumu/","","Warwick"
"1515286245-534","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Teemo","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Teemo/","","Alistar"
"1515286262-560","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Talon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Talon/","Ryze",""
"1515286170-406","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Udyr","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Udyr/","","Nasus"
"1515286482-1009","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Pantheon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Pantheon/","Vayne",""
"1515286218-486","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Trundle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Trundle/","","Shen"
"1515286067-155","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Xin Zhao","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/XinZhao/","","Rammus"
"1515286950-2137","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Diana","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Diana/","","Anivia"
"1515286940-2090","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Draven","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Draven/","Jhin",""
"1515286386-848","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Rumble","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Rumble/","Pantheon",""
"1515286570-1255","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Master Yi","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/MasterYi/","","Pantheon"
"1515286564-1226","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Miss Fortune","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/MissFortune/","Kalista",""
"1515287042-2361","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ashe","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ashe/","Caitlyn",""
"1515286358-779","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Shen","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Shen/","Xerath",""
"1515286738-1675","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jhin","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jhin/","Lucian",""
"1515286682-1517","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kennen","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kennen/","Kassadin",""
"1515286134-348","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vayne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Vayne/","Sivir",""
"1515287042-2373","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ashe","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ashe/","","MissFortune"
"1515286127-328","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Veigar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Veigar/","Cassiopeia",""
"1515286377-845","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ryze","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ryze/","","Yasuo"
"1515286509-1089","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nunu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nunu/","Udyr",""
"1515286857-1847","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Hecarim","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Hecarim/","","Jax"
"1515286521-1122","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nidalee","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nidalee/","Khazix",""
"1515287029-2337","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Azir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Azir/","","Velkoz"
"1515287010-2303","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Blitzcrank","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Blitzcrank/","","Janna"
"1515286974-2200","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Cassiopeia","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Cassiopeia/","Corki",""
"1515286077-198","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Xayah","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Xayah/","","Tristana"
"1515286903-1963","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Fizz","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Fizz/","Brand",""
"1515286920-2033","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ezreal","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ezreal/","","MissFortune"
"1515286609-1340","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lulu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Lulu/","Rakan",""
"1515286195-437","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Twisted Fate","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/TwistedFate/","Syndra",""
"1515286280-609","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Tahm Kench","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/TahmKench/","","Malphite"
"1515287091-2474","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ahri","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ahri/","Cassiopeia",""
"1515286134-343","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vayne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Vayne/","Lucian",""
"1515287036-2341","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Aurelion Sol","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/AurelionSol/","Gangplank",""
"1515286386-856","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Rumble","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Rumble/","","Kled"
"1515286245-532","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Teemo","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Teemo/","","Blitzcrank"
"1515287048-2391","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Annie","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Annie/","","Velkoz"
"1515286305-660","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Soraka","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Soraka/","","Leona"
"1515286231-493","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Tristana","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Tristana/","Ashe",""
"1515286073-172","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Xerath","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Xerath/","","Taric"
"1515286539-1183","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nami","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nami/","","Zyra"
"1515286637-1421","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Lee Sin","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/LeeSin/","","Shaco"
"1515286061-141","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Yasuo","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Yasuo/","","Kayle"
"1515286343-754","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Singed","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Singed/","","Yorick"
"1515286848-1828","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Heimerdinger","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Heimerdinger/","","Swain"
"1515286980-2218","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Camille","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Camille/","Kled",""
"1515286050-98","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zac","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zac/","Maokai",""
"1515286514-1116","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nocturne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nocturne/","","Khazix"
"1515286840-1816","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Illaoi","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Illaoi/","","Garen"
"1515286682-1519","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kennen","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Kennen/","Heimerdinger",""
"1515286914-2015","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Fiddlesticks","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Fiddlesticks/","","XinZhao"
"1515286280-601","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Tahm Kench","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/TahmKench/","Xerath",""
"1515287029-2333","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Azir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Azir/","","Zilean"
"1515287001-2285","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Brand","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Brand/","","Soraka"
"1515286980-2222","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Camille","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Camille/","Kennen",""
"1515286891-1938","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Gangplank","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Gangplank/","","Malzahar"
"1515286963-2177","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Corki","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Corki/","","Veigar"
"1515287036-2358","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Aurelion Sol","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/AurelionSol/","","Lux"
"1515287080-2465","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Akali","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Akali/","","Illaoi"
"1515286534-1157","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nasus","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nasus/","Poppy",""
"1515286218-470","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Trundle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Trundle/","Pantheon",""
"1515286031-43","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zilean","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zilean/","Brand",""
"1515286253-542","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Taric","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Taric/","Nautilus",""
"1515286993-2267","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Braum","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Braum/","","Alistar"
"1515287080-2452","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Akali","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Akali/","Syndra",""
"1515286840-1807","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Illaoi","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Illaoi/","Akali",""
"1515286127-342","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Veigar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Veigar/","","Thresh"
"1515286514-1104","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nocturne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nocturne/","LeeSin",""
"1515286245-536","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Teemo","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Teemo/","","Sion"
"1515286974-2212","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Cassiopeia","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Cassiopeia/","","Lux"
"1515286394-874","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Riven","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Riven/","","Garen"
"1515287010-2288","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Blitzcrank","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Blitzcrank/","Xerath",""
"1515286364-808","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Shaco","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Shaco/","","Jax"
"1515286218-478","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Trundle","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Trundle/","","Evelynn"
"1515286050-107","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zac","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zac/","","Kayn"
"1515287080-2461","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Akali","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Akali/","","Teemo"
"1515286879-1901","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Gnar","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Gnar/","","Yasuo"
"1515286957-2150","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Darius","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Darius/","Irelia",""
"1515286957-2154","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Darius","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Darius/","","TahmKench"
"1515286134-355","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vayne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Vayne/","","Xayah"
"1515286262-570","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Talon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Talon/","","Malphite"
"1515286674-1496","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Kha'Zix","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Khazix/","Graves",""
"1515286343-741","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Singed","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Singed/","Shen",""
"1515286240-513","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Thresh","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Thresh/","Nautilus",""
"1515286314-668","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Sona","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Sona/","Teemo",""
"1515286782-1768","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ivern","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ivern/","Kindred",""
"1515286564-1233","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Miss Fortune","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/MissFortune/","Ashe",""
"1515286081-216","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Wukong","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/MonkeyKing/","","Nidalee"
"1515286925-2051","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Evelynn","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Evelynn/","","Sejuani"
"1515286733-1665","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jinx","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Jinx/","Ashe",""
"1515286935-2071","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ekko","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ekko/","Viktor",""
"1515286985-2245","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Caitlyn","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Caitlyn/","","KogMaw"
"1515286482-1026","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Pantheon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Pantheon/","","Illaoi"
"1515286761-1739","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Jarvan IV","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/JarvanIV/","","MonkeyKing"
"1515287029-2335","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Azir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Azir/","","Malzahar"
"1515286482-1017","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Pantheon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Pantheon/","Gnar",""
"1515286091-226","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Warwick","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Warwick/","","Udyr"
"1515286031-46","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zilean","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zilean/","","Nami"
"1515286044-76","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Zed","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Zed/","Ezreal",""
"1515286096-252","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Volibear","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Volibear/","","Tryndamere"
"1515286073-169","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Xerath","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Xerath/","Veigar",""
"1515286055-112","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Yorick","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Yorick/","Jayce",""
"1515286642-1425","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","LeBlanc","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Leblanc/","Velkoz",""
"1515286495-1046","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Orianna","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Orianna/","Ryze",""
