web-scraper-order,web-scraper-start-url,champion,champion-href,Counters,Countered
"1515286514-1111","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nocturne","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nocturne/","","Twitch"
"1515286925-2039","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Evelynn","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Evelynn/","Hecarim",""
"1515286528-1147","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Nautilus","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Nautilus/","","Khazix"
"1515286195-441","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Twisted Fate","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/TwistedFate/","Azir",""
"1515286343-747","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Singed","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Singed/","Udyr",""
"1515287063-2416","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Amumu","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Amumu/","Zac",""
"1515287021-2317","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Bard","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Bard/","","Sion"
"1515286253-547","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Taric","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Taric/","Karma",""
"1515287048-2377","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Annie","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Annie/","Ryze",""
"1515286416-903","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Renekton","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Renekton/","Olaf",""
"1515286104-269","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Vladimir","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Vladimir/","","Gnar"
"1515286935-2082","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Ekko","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Ekko/","","JarvanIV"
"1515286885-1909","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Garen","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Garen/","Renekton",""
"1515286262-571","https://lolalytics.com/ranked/worldwide/platinum/plus/champions/","Talon","https://lolalytics.com/ranked/worldwide/platinum/plus/champion/Talon/","","Velkoz"
